name,website,Idea_List
OpenStreetMap,http://www.openstreetmap.org/,http://wiki.openstreetmap.org/wiki/Google_Summer_of_Code/2018/Project_Ideas
OpenSIPS,http://www.opensips.org/,http://www.opensips.org/Development/IdeasList
OpenMRS,https://openmrs.org/,https://om.rs/soc2018
OpnTec,http://opntec.org,http://blog.opntec.org/ideas
OpenAstronomy,http://www.OpenAstronomy.org,http://openastronomy.org/gsoc/gsoc2018/
Open States,https://openstates.org,https://github.com/openstates/meta/wiki/GSoC-2018-Overview#ideas
Open Roberta Lab,https://www.open-roberta.org/,https://github.com/OpenRoberta/robertalab/wiki/Google-Summer-of-Code-2018
Open Source Robotics Foundation,https://www.osrfoundation.org/,https://github.com/osrf/osrf_wiki/wiki/GSoC
OpenCensus,http://opencensus.io,http://opencensus.io
Open Food Facts,https://world.openfoodfacts.org,https://en.wiki.openfoodfacts.org/Student_projects/GSOC/Proposals
Open Chemistry,https://openchemistry.org/,http://wiki.openchemistry.org/GSoC_Ideas_2018
Open Bioinformatics Foundation,https://www.open-bio.org/wiki/Main_Page,http://obf.github.io/GSoC/ideas/
omegaUp.com,https://omegaup.org/,https://github.com/omegaup/omegaup/wiki/Google-Summer-of-Code-2018-Ideas-List
Open Data Kit,https://opendatakit.org,https://forum.opendatakit.org/t/welcome-gsoc-and-outreachy-applicants/11817
Netfilter project,http://www.netfilter.org,http://people.netfilter.org/pablo/nf-ideas-2018.txt
NumFOCUS,https://www.numfocus.org,https://github.com/numfocus/gsoc/blob/master/2018/ideas-list.md
National Resource for Network Biology (NRNB),http://www.nrnb.org/gsoc.html,https://github.com/nrnb/GoogleSummerOfCode/issues
Neovim,https://neovim.io/,https://github.com/neovim/neovim/wiki/GSoC-2018-Ideas
MuseScore,https://musescore.org,https://musescore.org/en/handbook/ideas-2018
MovingBlocks,http://terasology.org,https://github.com/MovingBlocks/Terasology/wiki/GSOC
mlpack,http://www.mlpack.org/,https://github.com/mlpack/mlpack/wiki/SummerOfCodeIdeas
Mobile Robot Programming Toolkit (MRPT),https://www.mrpt.org,https://github.com/MRPT/mrpt/wiki/Ideas-page-for-MRPT-Google-Summer-of-Code-2018
Moodle,https://moodle.org/,https://docs.moodle.org/dev/Projects_for_new_developers
Mozilla,https://mozilla.org,https://wiki.mozilla.org/Community:SummerOfCode18
Metasploit,https://metasploit.com,https://github.com/rapid7/metasploit-framework/wiki/GSoC-2018-Project-Ideas
MetaBrainz Foundation Inc.,https://metabrainz.org,https://wiki.musicbrainz.org/Development/Summer_of_Code/2018
Matrix.org,https://matrix.org,https://github.com/matrix-org/GSoC/blob/master/IDEAS.md
MariaDB Foundation,https://mariadb.org,https://mariadb.com/kb/en/library/google-summer-of-code-2018/
Mixxx DJ Software,https://www.mixxx.org/,https://www.mixxx.org/wiki/doku.php/gsoc2018ideas
LuaRocks,http://luarocks.org,http://luarocks.github.io/luarocks/gsoc/ideas2018.html
LLVM Compiler Infrastructure,http://llvm.org,http://llvm.org/OpenProjects.html#gsoc18
LibreHealth,http://librehealth.io/,https://forums.librehealth.io/ideas
